Company Name,Website,Company Type,Email,Phone,WhatsApp,Telegram,VK,LinkedIn,Contact Person,Designation,Social Source URL,Verification Status
Керамическая плитка - «Империя Керамики» салон плитки ...,https://imperiakeramiki.ru/,SHOWROOM,,,,,,,,,,VERIFIED
К-Импорт (K-Import),https://www.k-import.ru/,IMPORTER,info@k-import.ru,74957661909.0,,,,,,,,VERIFIED
Керамотека (Keramoteka),https://www.keramoteka.ru/,CONSTRUCTION,msk@keramoteka.ru,74956498420.0,79264718539.0,https://t.me/KeramotekaOfficial,,,,,https://www.keramoteka.ru/,VERIFIED
Cerammax,https://www.cerammax.ru/,DISTRIBUTOR,nahim@planetaplitki.ru,74956444233.0,,,https://oauth.vk.com/authorize,,,,https://www.cerammax.ru/,VERIFIED
Импорт керамической плитки и керамогранита из Китая ...,https://kf.com.ru/ceramics,IMPORTER,sale@kf.com.ru,79000001630.0,79000001645.0,https://t.me/dmitry_yakunin_crystal,,,,,https://kf.com.ru/ceramics,VERIFIED
Линкер (Lincer),https://lincer.ru/about/,DISTRIBUTOR,plitka@lincer.ru,78124413188.0,,https://t.me/lincerplitka,,,,,https://lincer.ru/about/,VERIFIED
Unitile,https://unitile.ru/partners/official_distributors/,DISTRIBUTOR,info@unitile.ru,78636269456.0,,https://t.me/unitileru,https://vk.com/unitileru,,,,https://unitile.ru/partners/official_distributors/,VERIFIED
«Арт Реал» - интернет-магазин керамической плитки в ...,https://www.artreal.ru/,SHOWROOM,info@artreal.ru,74951503298.0,,https://t.me/ARTREALbot,https://vk.com/artreal_ru,,,,https://www.artreal.ru/,VERIFIED
Итальянская керамическая плитка оптом со склада в ...,https://www.tile-ceramica.ru/plitka_optom/,DISTRIBUTOR,ceramica@ceramica.ru,74959560059.0,,,https://vk.com/creditceramica,,,,https://www.tile-ceramica.ru/plitka_optom/,VERIFIED
Российская керамическая плитка,https://www.rusplitka.ru/catalog/land/rossiya/,WHOLESALER,info@rusplitka.ru,74952294420.0,,https://t.me/rusplitka_bot,https://www.vk.com/rusplitka,,,,https://www.rusplitka.ru/catalog/land/rossiya/,VERIFIED
Керамир (Ceramir),https://ceramir.ru/,DISTRIBUTOR,info@ceramir.ru,74952560646.0,,,,,,,,VERIFIED
эксклюзивный дистрибьютор KERAMA MARAZZI в РФ,https://interstone.su/articles/novosti-kompanii/interstone-eksklyuzivnyy-distribyutor-kerama-marazzi,DISTRIBUTOR,info@interstone.su,,,https://t.me/+79154417060,https://vk.com/share.php,,,,https://interstone.su/articles/novosti-kompanii/interstone-eksklyuzivnyy-distribyutor-kerama-marazzi,VERIFIED
Global Tile,https://global-tile.ru/,COMPANY,info@global-tile.ru,74955878000.0,,https://t.me/global_tile_plitka,https://vk.com/global_tile,,,,https://global-tile.ru/,VERIFIED
Italon,https://www.italonceramica.ru/ru/dealer/rossiya/moskva/keramika-import-2329/,COMPANY,,73814516606.0,,,,,,,,VERIFIED
Керамогранит оптом и в розницу по низкой цене с ...,http://ceramogranit-optom.ru/?srsltid=AfmBOorGTBLbxdUscNx4YlwuUHfJej8VO_VZ3sZeB8_L7VP2S8AVoO9q,WHOLESALER,sale@ceramogranit-optom.ru,74955405010.0,,,,,,,,VERIFIED
Керамогранит.ру (Keramogranit.ru),https://www.keramogranit.ru/,WHOLESALER,manager@keramogranit.ru,74959663880.0,,https://t.me/Keramogranitr,https://vk.com/keramogranit_ru,,,,https://www.keramogranit.ru/,VERIFIED
Керамическая плитка и керамогранит оптом для дилеров,https://artcentre.club/dileram/,WHOLESALER,office@artcentre.club,70281090300.0,,https://t.me/artcentre_club,https://vk.com/public211394021,,,,https://artcentre.club/dileram/,VERIFIED
Керамическая плитка оптом в Москве,https://elmantrade.ru/kupit-optom/?srsltid=AfmBOooPBW6QlAGirOEISQcFkHAdyiA5Scy09bntxgaL9cWuswkIxXFF,WHOLESALER,office@elmantrade.ru,74951034848.0,,,,,,,,VERIFIED
Керамогранит оптом - Керамическая плитка,https://opt.mosplitka.ru/,WHOLESALER,opt@mosplitka.ru,74951047080.0,,,,,,,,VERIFIED
Арткерамика (Artkeramika),https://artkeramika-opt.ru/catalog/collections/keramicheskaya-plitka/,WHOLESALER,zakaz@artkeramika-opt.ru,74997033042.0,,,https://vk.com/artkeramika_opt,,,,https://artkeramika-opt.ru/catalog/collections/keramicheskaya-plitka/,VERIFIED
Best Tiles Manufacturer in Russia,https://www.durezagranito.com/tiles-manufacturer-exporter-in-Russia/,DISTRIBUTOR,info@durezagranito.com,,,,,https://www.linkedin.com/company/dureza-granito-pvt-ltd/,,,https://www.durezagranito.com/tiles-manufacturer-exporter-in-Russia/,VERIFIED
Интернет-магазин керамогранита и керамической плитки в ...,https://msk.estima.ru/,SHOWROOM,salon-msk@estima.ru,74991106004.0,,https://t.me/estimasmr,https://m.vk.com/estimaceramica,,,,https://msk.estima.ru/,VERIFIED
"Плитка, камень оптом — купить по цене производителя",https://volmatech.ru/catalog/plitka_kamen/,WHOLESALER,shop@volma.ru,78007000417.0,7.0,https://t.me/volma_ru,https://vk.com/volmaru,,,,https://volmatech.ru/catalog/plitka_kamen/,VERIFIED
Импорт керамической плитки в Российской Федерации,https://www.abok.ru/for_spec/articles.php?nid=1579,IMPORTER,support@abok.ru,,,https://t.me/abok_np,http://vk.com/abok_russia,,,,https://www.abok.ru/for_spec/articles.php?nid=1579,VERIFIED
Керамогранит купить в Санкт-Петербурге по выгодной ...,https://plitka-78.ru/slidertop/5-keramogranit-kupit-v-sankt-peterburge-po-vygodnoi-cene-optom-i-v-roznicu.html,WHOLESALER,stroikeramika@mail.ru,,,,,,,,,VERIFIED
Showrooms and dealers in Russia,https://www.marazzigroup.com/locality/russia-country/,DISTRIBUTOR,,,,,,https://www.linkedin.com/company/marazzi-group/,,,https://www.marazzigroup.com/locality/russia-country/,VERIFIED
"официальный дистрибьютор ГК ""Уральский Гранит""!",https://fasadresurs.ru/about/news/resurs-ofitsialnyy-distribyutor-gk-uralskiy-granit/,DISTRIBUTOR,opt@dvresurs.ru,79098754662.0,79098754662.0,https://t.me/facad_resurs,,,,,https://fasadresurs.ru/about/news/resurs-ofitsialnyy-distribyutor-gk-uralskiy-granit/,VERIFIED
Купить керамогранит в Москве и России. Оптом от ...,https://technotile.ru/,DISTRIBUTOR,opt@technotile.ru,74993504450.0,,,,,,,,VERIFIED
Керамическая плитка и керамогранит оптом – купить в ...,https://spb.tesser.ru/content/dlya_optovikov/,WHOLESALER,spb@tesser.ru,78124077008.0,,,,,,,,VERIFIED
КЕРАМОГРАНИТ купить в Москве оптом и в розницу. ...,https://www.ceram-kioto.ru/catalog/keramogranit/,DISTRIBUTOR,ceram-kioto@mail.ru,74955893685.0,79672454514.0,,https://vk.com/ceram_kioto,,,,https://www.ceram-kioto.ru/catalog/keramogranit/,VERIFIED
Контакт-М (Contact-M),https://kontact-m.ru/wholesalers/,DISTRIBUTOR,koroleva@kontact-m.ru,79057797711.0,,,,,,,,VERIFIED
