id,company_name,website,email,phone,whatsapp,telegram,vk,country,city,source_url,notes,status,created_at,updated_at,contacted_at,replied_at,campaign,business_type,product_category,buyer_evidence,qualification_score,source_type,source_query,verification_status,contact_person,contact_person_title,contact_person_source,email_source,phone_source,whatsapp_source,telegram_source,vk_source,linkedin_url,linkedin_source,verification_notes,last_verified_at,legal_entity_name,page_title,company_identity_source
57,Tadviser,https://www.tadviser.ru,news@tadviser.ru,+7 (926) 557-49-79,,https://t.me/tadviser,https://vk.com/tadviser,Russia,Москва,https://www.tadviser.ru,Scraped and qualified automatically.,Rejected,2026-08-20 20:11:52,2026-08-24 18:50:46,,,Real-Data Batch,IT Portal / Publisher,Technology Information,Rejected: Classified as IT portal/news site.,0,Search Discovery,"""импортер плитки"" Россия",Rejected,Александр Левашов,Главный редактор,https://www.tadviser.ru/index.php/TAdviser:%D0%9A%D0%BE%D0%BD%D1%82%D0%B0%D0%BA%D1%82%D1%8B,https://www.tadviser.ru,https://www.tadviser.ru/index.php/TAdviser:%D0%9A%D0%BE%D0%BD%D1%82%D0%B0%D0%BA%D1%82%D1%8B,,https://www.tadviser.ru,https://www.tadviser.ru,,,"Verified IT media/analytics portal. Not a tile importer.
---
Automated scan completed on 2026-08-24 23:14:39",2026-08-24 23:14:39,,TAdviser,Domain Cleanup (Retro Fallback)
58,Russian,https://russian.alibaba.com,,6000000005666-2,,,,Russia,,https://russian.alibaba.com,Scraped and qualified automatically.,Rejected,2026-08-20 20:11:56,2026-08-24 18:50:49,,,Real-Data Batch,B2B E-commerce Platform,General B2B Marketplace,Rejected: Classified as B2B platform/marketplace.,0,Search Discovery,"""импортер плитки"" Россия",Rejected,Павильон Турции,Ceo,https://russian.alibaba.com,,https://russian.alibaba.com,,,,,,"Verified B2B marketplace operator. Legal entity: ООО «АЛИБАБА.КОМ (РУ)», INN 7703380158.
---
Automated evidence: Supplier relations found on https://russian.alibaba.com; Wholesale operations found on https://russian.alibaba.com
Automated scan completed on 2026-08-24 23:14:43",2026-08-24 23:14:43,,Алибаба Alibaba - крупнейшая в мире онлайн B2B торговая платформа,Domain Cleanup (Retro Fallback)
59,Keramogranit,https://www.keramogranit.ru,manager@keramogranit.ru,+7 (909) 958-40-00,,https://t.me/Keramogranitr,https://vk.com/keramogranit_ru,Russia,Москва,https://www.keramogranit.ru,Scraped and qualified automatically.,Approved,2026-08-20 20:12:50,2026-08-24 18:50:53,,,Real-Data Batch,Distributor/Wholesaler,Ceramic Tiles & Sanitaryware,Distributor/wholesaler indicators present; Explicit purchasing/wholesale evidence found; Tile/sanitaryware catalog matches found; Russian domain/city presence verified; Corporate business email domain; Contact phone details present,80,Search Discovery,"""импортер плитки"" Россия",Verified,Войченко Сергей Николаевич,Генеральный Директор,https://www.keramogranit.ru/contact/,https://www.keramogranit.ru,https://www.keramogranit.ru,,https://www.keramogranit.ru,https://www.keramogranit.ru,,,"Verified importer/retailer. Legal entity: ООО «КЕРАМАНТИКА», INN 7720642011.
---
Automated evidence: Foreign economic activities (ВЭД) found on https://www.keramogranit.ru/contact/; Dealer partnerships found on https://www.keramogranit.ru/cooperation/for-dealers/; Wholesale operations found on https://www.keramogranit.ru; Wholesale operations found on https://www.keramogranit.ru/contact/; Wholesale operations found on https://www.keramogranit.ru/cooperation/for-dealers/; Dealer partnerships found on https://www.keramogranit.ru/contact/; Wholesale operations found on https://www.keramogranit.ru/about_keramogranit/; Dealer partnerships found on https://www.keramogranit.ru; Dealer partnerships found on https://www.keramogranit.ru/about_keramogranit/
Automated scan completed on 2026-08-24 23:14:55",2026-08-24 23:14:55,,Керамогранит - купить в Москве по цене производителя | Магазин плитки Керамогранит.ру,Domain Cleanup (Retro Fallback)
60,Таймекс-М,https://plitka.ru,timex@plitka.ru,495)  223-25-27,,,,Russia,Москва,https://plitka.ru,Scraped and qualified automatically.,Rejected,2026-08-20 20:12:57,2026-08-24 18:50:55,,,Real-Data Batch,Manufacturer / Importer,Ceramic Tiles & Sanitaryware,Importer with tile/sanitaryware relevance; Tile/sanitaryware catalog matches found; Russian domain/city presence verified; Corporate business email domain; Contact phone details present; Penalized: Primarily a manufacturer,45,Search Discovery,"""дистрибьютор плитки"" Россия",Rejected,,,,https://plitka.ru,https://plitka.ru,,,,,,"Verified manufacturer of paving tiles and concrete products. Legal entity: ООО «Таймекс-М».
---
Automated evidence: Import activities found on https://plitka.ru; Import activities found on https://plitka.ru/about/
Automated scan completed on 2026-08-24 23:15:07",2026-08-24 23:15:07,ООО «Таймекс-М»,"Тротуарная плитка, облицовочная плитка, оборудование для производства тротуарной плитки - Таймекс-М | Тротуарная плитка с 1992 года",Legal Entity Extraction (Retro)
61,Ceramtrade,https://ceramtrade.ru,info@ceramtrade.ru,+7 495 988-01-65,,https://t.me/+79671132700,https://vk.com/ceramtrade,Russia,Москва,https://ceramtrade.ru,Scraped and qualified automatically.,Approved,2026-08-20 20:13:30,2026-08-24 18:51:06,,,Real-Data Batch,Importer / Wholesaler,Ceramic Tiles & Sanitaryware,Direct wholesale distributor of imported tiles,100,Search Discovery,Seed Fallback,Verified,Шустров Дмитрий Анатольевич,Генеральный директор,Company/legal registry,https://ceramtrade.ru,https://ceramtrade.ru,,https://ceramtrade.ru,https://ceramtrade.ru,,,"Verified tile wholesale/retail merchant. Legal entity: ООО «КЕРАМТРЕЙД», INN 7708770761.
---
Automated evidence: Dealer partnerships found on https://ceramtrade.ru/info/dealers/; Dealer partnerships found on https://ceramtrade.ru/personal/; Dealer partnerships found on https://ceramtrade.ru; Dealer partnerships found on https://ceramtrade.ru/contacts/; Foreign economic activities (ВЭД) found on https://ceramtrade.ru/contacts/
Automated scan completed on 2026-08-24 23:15:54",2026-08-24 23:15:54,,КерамТрейд,Domain Cleanup (Retro Fallback)
62,Tesser,https://tesser.ru,info@tesser.ru,+7 (495) 411-99-77,,,,Russia,Москва,https://tesser.ru,Scraped and qualified automatically.,Approved,2026-08-20 20:14:54,2026-08-24 18:51:10,,,Real-Data Batch,Distributor/Wholesaler,Ceramic Tiles & Sanitaryware,Distributor/wholesaler indicators present; Explicit purchasing/wholesale evidence found; Tile/sanitaryware catalog matches found; Russian domain/city presence verified; Corporate business email domain; Contact phone details present,80,Search Discovery,Seed Fallback,Verified,Новицкий Андрей Владимирович,Генеральный директор,Company/legal registry,https://tesser.ru,https://tesser.ru,,,,,,"Verified retail and wholesale salon network. Legal entity: ООО «БАУСЕРВИС», INN 5074113294.
---
Automated evidence: Wholesale operations found on https://tesser.ru/about/; Wholesale operations found on https://tesser.ru/personal/cart/; Wholesale operations found on https://tesser.ru; Wholesale operations found on https://tesser.ru/content/dlya_optovikov/; Supplier relations found on https://tesser.ru/content/dlya_optovikov/; Wholesale operations found on https://tesser.ru/contacts/
Automated scan completed on 2026-08-24 23:16:16",2026-08-24 23:16:16,,,Domain Cleanup (Retro Fallback)
63,Plitkanadom,https://plitkanadom.ru,info@plitkanadom.ru,+7 (495)  77-77-121,,https://t.me/plitkanadom_ru,https://vk.com/public64362093,Russia,Москва,https://plitkanadom.ru,Scraped and qualified automatically.,Approved,2026-08-20 20:15:34,2026-08-24 18:51:16,,,Real-Data Batch,Distributor/Wholesaler,Ceramic Tiles & Sanitaryware,Distributor/wholesaler indicators present; Tile/sanitaryware catalog matches found; Russian domain/city presence verified; Corporate business email domain; Contact phone details present,60,Search Discovery,Seed Fallback,Verified,Алексей Александрович Бизюкин,Генеральный директор,Company/legal registry,https://plitkanadom.ru,https://plitkanadom.ru,,https://plitkanadom.ru,https://plitkanadom.ru,,,"Verified company record. Legal entity: ООО «ГлавСтройТорг», INN 7721783350.
---
Automated evidence: Wholesale operations found on https://plitkanadom.ru/onas/
Automated scan completed on 2026-08-24 23:16:33",2026-08-24 23:16:33,,"Интернет-магазин керамической плитки, керамогранита и сантехники - «ПлиткаНаДом»",Domain Cleanup (Retro Fallback)
64,Plitkaland,https://www.plitkaland.ru,plitka7286076@yandex.ru,+7 (903) 728-60-76,,https://t.me/Korogadinabot,,Russia,Москва,https://www.plitkaland.ru,Scraped and qualified automatically.,Scraped,2026-08-20 20:15:47,2026-08-24 18:51:23,,,Real-Data Batch,Distributor/Wholesaler,Ceramic Tiles & Sanitaryware,Distributor/wholesaler indicators present; Tile/sanitaryware catalog matches found; Russian domain/city presence verified; Contact phone details present,55,Search Discovery,Seed Fallback,Needs Review,Соленов Алексей Олегович,Генеральный директор,Company/legal registry,https://plitkaland.ru/contact.html,https://www.plitkaland.ru,,https://www.plitkaland.ru,,,,"Verified official distributor of Kerama Marazzi. Legal entity: ООО «Керамика Сол», INN 7743690325.
---
Automated scan completed on 2026-08-24 23:16:43",2026-08-24 23:16:43,,Российская плитка Kerama Marazzi. Купить российскую плитку в Москве.,Domain Cleanup (Retro Fallback)
65,Эстима+,https://estima.ru,logistikkursk@skvirel-group.ru,+7 (495) 775-60-40,,https://t.me/estimasmr?utm_source=estima&utm_medium=web&utm_campaign=footer,https://vk.com/estimaceramica,Russia,Москва,https://estima.ru,Scraped and qualified automatically.,Rejected,2026-08-20 20:15:54,2026-08-24 18:51:27,,,Real-Data Batch,Manufacturer,Building Materials,Rejected: Classified as manufacturer without direct import/buyer evidence.,0,Search Discovery,Seed Fallback,Rejected,Воронин Андрей Евгеньевич,Генеральный директор,Company/legal registry,https://estima.ru,https://estima.ru,,https://estima.ru,https://estima.ru,,,"Verified major Russian manufacturer of porcelain tiles. Legal entity: АО «Эстима+», INN 9709117608.
---
Automated scan completed on 2026-08-24 23:16:51",2026-08-24 23:16:51,АО «Эстима+»,Estima - производитель керамогранита | Официальный сайт производителя напольной и настенной плитки из керамогранита,Legal Entity Extraction (Retro)
66,Торговый дом Литокол,https://litokol.ru,litokol@litokol.ru,8 (800) 444-14-65,,https://t.me/s/litokol_russia,https://vk.com/club39982251,Russia,Москва,https://litokol.ru,Scraped and qualified automatically.,Rejected,2026-08-20 20:16:03,2026-08-24 18:51:36,2026-08-24 23:17:58,,Real-Data Batch,Manufacturer,Building Materials,Rejected: Classified as manufacturer without direct import/buyer evidence.,0,Search Discovery,Seed Fallback,Rejected,Ометов Сергей Дмитриевич,Генеральный директор,Company/legal registry,https://litokol.ru,https://litokol.ru,,https://litokol.ru,https://litokol.ru,,,"Verified manufacturer of building mixtures. Legal entity: ООО «Ногинский Комбинат Строительных Смесей», INN 5031042874.
---
Automated evidence: Wholesale operations found on https://litokol.ru; Wholesale operations found on https://litokol.ru/about/
Automated scan completed on 2026-08-24 23:17:07",2026-08-24 23:17:07,АО «Торговый дом Литокол»,"LITOKOL — сухие строительные смеси, плиточный клей, затирки и гидроизоляция | Официальный сайт",Legal Entity Extraction (Retro)
