company_name,website,company_type,product_category,business_email,business_phone,whatsapp,contact_person,designation,product_fit_score,import_activity_score,company_size_score,market_relevance_score,recent_activity_score,decision_maker_score,total_score,lead_bucket,buyer_probability,import_probability,product_relevance,company_size,market_relevance,recent_activity,decision_maker_status,qualification_status,qualification_error,reason,recommended_action,evidence,sales_priority
Керамическая плитка - «Империя Керамики» салон плитки ...,https://imperiakeramiki.ru/,SHOWROOM,Porcelain & Ceramic Tiles,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,5.0,0.0,15.0,7.0,0.0,52,POTENTIAL,MEDIUM,LOW,HIGH,UNKNOWN,HIGH,MEDIUM,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company is a Russian tile showroom (""салон плитки"") with confirmed tile and market relevance, an active website and a recent timestamp, but there is no evidence of import operations, decision‑maker contact details, or company size. It is therefore classified as a showroom buyer with medium likelihood to purchase and low import probability.",Initiate contact via the website contact form to request a decision‑maker and discuss tile procurement needs.,"Tile relevant flag: YES indicating focus on ceramic tiles; Russia relevant flag: YES indicating relevance to Russian market; Company name includes ""салон плитки"" which translates to tile showroom, indicating showroom type; Website is active and page title contains date 17.08.2026 showing recent activity; Business Email, Phone, WhatsApp not found",🟡 Research
К-Импорт (K-Import),https://www.k-import.ru/,RETAILER,Porcelain & Ceramic Tiles,info@k-import.ru,+7 495 766-19-09,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,5.0,0.0,15.0,0.0,0.0,45,POTENTIAL,MEDIUM,LOW,HIGH,UNKNOWN,HIGH,UNKNOWN,NOT_FOUND,QUALIFIED,NOT_FOUND,"K-Import operates an active e‑commerce site selling ceramic and porcelain tiles in Moscow, confirming strong product and market relevance. No explicit evidence of import activities or a decision‑maker contact was found, so import probability is low. Company size and recent activity cannot be determined from the supplied data.",Reach out via the listed email or phone to inquire about their tile sourcing needs and explore a potential supplier relationship.,Website URL: https://www.k-import.ru/; Page Title indicates an online store for ceramic tiles in Moscow; Tile Relevant Flag: YES; Russia Relevant Flag: YES; Business Email: info@k-import.ru; Business Phone: 74957661909.0; Verification note: Active site with matching tile and Russian relevance keywords,🟡 Research
Cerammax,https://www.cerammax.ru/,RETAILER,Porcelain & Ceramic Tiles,nahim@planetaplitki.ru,+7 495 644-42-33,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,5.0,0.0,15.0,3.0,0.0,48,POTENTIAL,MEDIUM,LOW,HIGH,UNKNOWN,HIGH,LOW,NOT_FOUND,QUALIFIED,NOT_FOUND,"Cerammax is an active tile business in Russia selling porcelain stoneware, showing high product and market relevance. However, there is no explicit evidence of direct importing operations or decision-maker details.",Investigate import history and attempt to identify key purchasing managers or decision-makers at Planeta Plitki / Cerammax.,Page title explicitly references porcelain stoneware ('Керамогранит').; Website is active and verified as relevant to tiles and the Russian market.; Contact email domain associates the company with Planeta Plitki ('planetaplitki.ru').,🟡 Research
Линкер (Lincer),https://lincer.ru/about/,WHOLESALER,Porcelain & Ceramic Tiles,plitka@lincer.ru,+7 812 441-31-88,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,0.0,0.0,40,POTENTIAL,UNKNOWN,UNKNOWN,HIGH,UNKNOWN,HIGH,UNKNOWN,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company’s website and title explicitly state it supplies tiles and porcelain stoneware wholesale in Russia, making it highly relevant to both the product and market. However, there is no evidence of import operations, company size, recent activity, or identified decision makers, so those fields remain unknown or not found.",Contact the company via the provided email (plitka@lincer.ru) to discuss tile purchasing needs and evaluate partnership potential.,"Page title: ""Оптовый поставщик плитки и керамогранита Линкер в СПб"" indicates the company is a wholesale supplier of tiles and porcelain stoneware.; Website is active and contains tile-related keywords, confirming tile relevance.; Tile Relevant Flag: YES and Russia Relevant Flag: YES confirm market relevance.; Business email plitka@lincer.ru provided for contact.; No information on import activities is present on the site.",🟡 Research
Unitile,https://unitile.ru/partners/official_distributors/,MANUFACTURER,Porcelain & Ceramic Tiles,info@unitile.ru,+7 863 626-94-56,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,0.0,0.0,40,POTENTIAL,LOW,NOT_FOUND,HIGH,UNKNOWN,HIGH,UNKNOWN,NOT_FOUND,QUALIFIED,NOT_FOUND,"Unitile operates as a tile manufacturer/brand in Russia with its own distributor network. Without explicit evidence of tile importing or OEM sourcing, buyer probability for an Indian exporter remains low.",Verify if Unitile engages in contract manufacturing or imports complementary tile lines from overseas manufacturers.,"Website title 'Официальные дистрибьюторы' on unitile.ru indicates a company managing its own distributor network.; Tile Relevant Flag is YES, confirming alignment with building materials and tile sector.; Russia Relevant Flag is YES, matching target Russian market.",🟡 Research
«Арт Реал» - интернет-магазин керамической плитки в ...,https://www.artreal.ru/,RETAILER,Porcelain & Ceramic Tiles,info@artreal.ru,+7 495 150-32-98,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,10.0,0.0,50,POTENTIAL,MEDIUM,UNKNOWN,HIGH,UNKNOWN,HIGH,HIGH,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company operates an online store selling ceramic tiles in Moscow, confirming it is a retailer of the product category. Tile and Russia relevance flags indicate strong product and market alignment, supporting a HIGH market relevance and HIGH product relevance. The active website demonstrates recent activity. No information is available about company size, import activities, or specific decision‑maker contacts, so those fields remain UNKNOWN or NOT_FOUND. Buyer intent is inferred from the retail model, yielding a MEDIUM probability.",Reach out via the provided email or phone to identify the purchasing decision‑maker and assess interest in importing porcelain and ceramic tiles.,Website active: https://www.artreal.ru/; Tile Relevant Flag: YES; Russia Relevant Flag: YES; Business Email: info@artreal.ru; Business Phone: 74951503298.0; Verified active site with matching tile and Russian relevance keywords.,🟡 Research
Российская керамическая плитка,https://www.rusplitka.ru/catalog/land/rossiya/,UNKNOWN,Porcelain & Ceramic Tiles,info@rusplitka.ru,+7 495 229-44-20,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,10.0,0.0,50,POTENTIAL,MEDIUM,UNKNOWN,HIGH,UNKNOWN,HIGH,HIGH,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company operates a tile‑focused website in Russia, confirming high product and market relevance. While no explicit company type or size is given, the presence of a catalog and contact details suggests they are an active player in the tile market, giving a medium likelihood of being a buyer. No information on import activities or decision‑maker contacts is available.",Contact the provided business email to introduce Wolf Group India’s porcelain and ceramic tile offerings and request a conversation with the procurement team.,Active website (https://www.rusplitka.ru/catalog/land/rossiya/) verified; Tile Relevant Flag set to YES indicating tile focus; Russia Relevant Flag set to YES indicating geographic relevance; Business email provided: info@rusplitka.ru; Business phone provided: 74952294420,🟡 Research
Керамир (Ceramir),https://ceramir.ru/,UNKNOWN,Porcelain & Ceramic Tiles,info@ceramir.ru,+7 495 256-06-46,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,5.0,0.0,15.0,0.0,0.0,45,POTENTIAL,MEDIUM,LOW,HIGH,UNKNOWN,HIGH,UNKNOWN,NOT_FOUND,QUALIFIED,NOT_FOUND,"Ceramir actively operates in the Russian ceramic tile and porcelain stoneware market, matching Wolf Group India's target product portfolio and target geography. However, specific company type, direct import operations, and decision-maker contact details are not explicitly established in the provided evidence.",Perform secondary research on the company website to verify import/distribution capabilities and identify direct procurement contacts or decision-makers.,Page title translates to 'Ceramir: ceramic tiles and porcelain tiles' ('Керамир: керамическая плитка и керамогранит').; Active website operating in the Russian market with verified tile relevance.; General contact information available: info@ceramir.ru and phone +74952560646.,🟡 Research
эксклюзивный дистрибьютор KERAMA MARAZZI в РФ,https://interstone.su/articles/novosti-kompanii/interstone-eksklyuzivnyy-distribyutor-kerama-marazzi,DISTRIBUTOR,Porcelain & Ceramic Tiles,info@interstone.su,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,5.0,0.0,15.0,0.0,0.0,45,POTENTIAL,MEDIUM,LOW,HIGH,UNKNOWN,HIGH,UNKNOWN,NOT_FOUND,QUALIFIED,NOT_FOUND,"INTERSTONE is identified as an active Russian distributor for Kerama Marazzi, a major tile brand. While product and market relevance are high, there is no explicit evidence of direct import operations or a named decision-maker.",Initiate email contact via info@interstone.su to verify interest in sourcing external porcelain/ceramic tile lines and request contacts for procurement decision-makers.,Page title indicates INTERSTONE is an exclusive distributor of KERAMA MARAZZI in Russia ('INTERSTONE - эксклюзивный дистрибьютор KERAMA MARAZZI в РФ').; Tile Relevant Flag and Russia Relevant Flag are both set to YES.; Business Email available: info@interstone.su.,🟡 Research
Global Tile,https://global-tile.ru/,MANUFACTURER,Porcelain & Ceramic Tiles,info@global-tile.ru,+7 495 587-80-00,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,5.0,0.0,15.0,3.0,0.0,48,POTENTIAL,LOW,LOW,HIGH,UNKNOWN,HIGH,LOW,NOT_FOUND,QUALIFIED,NOT_FOUND,"Global Tile is a Moscow-based entity dealing in ceramic and porcelain tiles, claiming to be a manufacturer ('от производителя'). Because they manufacture/sell their own product line and there is no evidence of direct tile importing, buyer and import probability are low.",Conduct further research to determine if they outsource manufacturing or import specific lines from overseas before attempting targeted procurement outreach.,"Page title translates to 'Global Tile: ceramic tiles and porcelain tiles from the manufacturer in Moscow'.; Website status is ACTIVE with positive flags for tile relevance and Russian market relevance.; Generic contact info found (info@global-tile.ru, phone +74955878000), but no specific decision maker or import activity documented.",🟡 Research
